Results (Modelled Table):
--------------------------------------------------------------------
  Day  Active Infections:           New Cases    Total Recovered:
--------------------------------------------------------------------
    1                6806                 536                 656
    2                6606                 521                1377
    3                6278                 457                2162
    4                5977                 420                2883
    5                5746                 447                3561
    6                5601                 411                4117
    7                5396                 314                4636
    8                5179                 289                5142
    9                4971                 287                5637
   10                4737                 255                6126
   11                4450                 253                6666
   12                4215                 249                7150
   13                4078                 262                7549
   14                3904                 241                7964
   15                3670                 212                8410
   16                3431                 195                8844
   17                3230                 179                9224
   18                3028                 148                9574
   19                2815                 159                9946
   20                2619                 146               10288
   21                2499                 141               10549
   22                2389                 130               10789
   23                2281                 131               11028
   24                2203                 134               11240
   25                2137                 144               11450
   26                2062                 132               11657
   27                1974                 130               11875
   28                1882                 108               12075
   29                1817                 111               12251
   30                1778                 123               12413
   31                1753                 124               12562
   32                1759                 129               12685
   33                1765                 138               12817
   34                1784                 140               12938
   35                1796                 129               13055
   36                1828                 140               13163
   37                1862                 143               13272
   38                1911                 160               13383
   39                1922                 131               13503
   40                1933                 121               13613
   41                1946                 121               13721
   42                1985                 129               13811
   43                2025                 132               13903
   44                2062                 139               14005
   45                2095                 136               14108
   46                2137                 149               14215
   47                2159                 137               14330
   48                2191                 148               14446
   49                2248                 164               14553
   50                2294                 162               14669
   51                2303                 128               14788
--------------------------------------------------------------------
